dedup_key,sku,product_name,brand,product_url,price,currency,availability,pack_size,category_hierarchy,variant_skus,specifications,image_urls,alternative_products,description,source_url,scraped_at,extraction_method,run_id,content_hash,first_seen_at,last_updated_at
sku:PFLXA,PFLXA,Myco Medical TechnoCut Disposable Scalpels,Safco Dental,https://www.safcodental.com/product/myco-medical-technocut-reg-disposable-scalpels,8.99,USD,InStock,,"[{""name"": ""Sutures & surgical products"", ""url"": ""https://www.safcodental.com/catalog/sutures-surgical-products""}, {""name"": ""Surgical blades and scalpels"", ""url"": ""https://www.safcodental.com/catalog/sutures-surgical-products/surgical-blades-and-scalpels""}]",[],{},"[""https://www.safcodental.com/media/catalog/product/p/f/pflxa.jpg""]",[],"Non-slip, clear shield improves safety and enables easy blade size identification Ergonomic, non-slip plastic handle with integrated metric ruler for convenience Scalpel blades produced from high-quality Swiss stainless steel 100% automated inspection verifies the blade to handle attachment Cold-staking used for attaching blade to handle, improving consistency Scalpels manufactured in facilities that conform to ISO 13485",https://www.safcodental.com/product/myco-medical-technocut-reg-disposable-scalpels,2026-06-03T22:03:15.802637+00:00,json_ld,safco-dental-20260603-220305-7cbc75,1dcf9855d084194741cf0f1bcbaa83d478aa89bfb0408b2ffcee5b62dfd5e4b4,2026-06-03T22:03:06.037228+00:00,2026-06-03T22:03:15.815828+00:00
sku:PFWVG,PFWVG,DentalProX VeraGraft Dental Powder,Safco Dental,https://www.safcodental.com/product/dentalprox-veragraft-trade-dental-powder,28.99,USD,InStock,,"[{""name"": ""Sutures & surgical products"", ""url"": ""https://www.safcodental.com/catalog/sutures-surgical-products""}, {""name"": ""Bone grafting tissue augmentation"", ""url"": ""https://www.safcodental.com/catalog/sutures-surgical-products/bone-grafting""}]",[],{},"[""https://www.safcodental.com/media/catalog/product/p/f/pfwvg.jpg""]",[],"Safe alternative to an autograft with no need for a second surgical site Osteoconductive Used for volumetric enhancement, space maintenance, and faster remodeling Sterile ground dental powder is available in cortical, cancellous and a cortical/cancellous mix. Validated to a sterility assurance level (SAL) of 10(-6) in accordance with ISO 11137-2 Method 1.",https://www.safcodental.com/product/dentalprox-veragraft-trade-dental-powder,2026-06-03T22:03:16.907649+00:00,json_ld,safco-dental-20260603-220305-7cbc75,b85732fa6d871979491bafefe22c752bc2f0c8ba3b6322afc4e14ae7ac5eaa96,2026-06-03T22:03:06.040706+00:00,2026-06-03T22:03:16.920184+00:00
sku:PFLWR,PFLWR,Myco Medical Glassvan Scalpel Blades,Safco Dental,https://www.safcodental.com/product/myco-medical-nbsp-glassvan-reg-scalpel-blades,24.99,USD,InStock,,"[{""name"": ""Sutures & surgical products"", ""url"": ""https://www.safcodental.com/catalog/sutures-surgical-products""}, {""name"": ""Surgical blades and scalpels"", ""url"": ""https://www.safcodental.com/catalog/sutures-surgical-products/surgical-blades-and-scalpels""}]",[],{},"[""https://www.safcodental.com/media/catalog/product/p/f/pflwr.jpg""]",[],"GLASSVAN® Surgical Blades have been trusted by users around the world for more than 25 years. Automated grinding and proprietary polishing process ensure consistent, clean, and sharp cutting edges Produced from high quality Swiss carbon steel Two VCI strips ensure product and packaging integrity and reduce risk of blade piercing the foil Manufactured in FDA-inspected facilities and conform to ISO-7740 and ISO-13485 Carbon steel and stainless-steel blades are available sterile in sizes 10-25, with select sizes also available non-sterile.",https://www.safcodental.com/product/myco-medical-nbsp-glassvan-reg-scalpel-blades,2026-06-03T22:03:17.067859+00:00,json_ld,safco-dental-20260603-220305-7cbc75,2c007ec0151e5d508452db4ef8e6d49dd80693e28a347c626a7286e1e9be2161,2026-06-03T22:03:06.043566+00:00,2026-06-03T22:03:17.080302+00:00
sku:PFWRX,PFWRX,R.T.R. Membrane,Safco Dental,https://www.safcodental.com/product/r-t-r-membrane,108.99,USD,InStock,,"[{""name"": ""Sutures & surgical products"", ""url"": ""https://www.safcodental.com/catalog/sutures-surgical-products""}, {""name"": ""Bone grafting tissue augmentation"", ""url"": ""https://www.safcodental.com/catalog/sutures-surgical-products/bone-grafting""}]",[],{},"[""https://www.safcodental.com/media/catalog/product/p/f/pfwrx.jpg""]",[],"Biocompatible Type I bovine Achilles tendon collagen. The absorbable, implantable material creates a barrier to protect PDL development from fast growing tissues. Supports wound stabilization and allows essential nutrients to pass through. Indicated for GTR procedures. Absorbable within 4-8 weeks. Appears white in the dry state; translucent and non-slippery when wet. Cut to size and shape.",https://www.safcodental.com/product/r-t-r-membrane,2026-06-03T22:03:17.438124+00:00,json_ld,safco-dental-20260603-220305-7cbc75,b85574c5968d58f7082487b23ce48cb13ff6addd99ea68296248d8896c53d98a,2026-06-03T22:03:06.046441+00:00,2026-06-03T22:03:17.450277+00:00
sku:PFLWH,PFLWH,Soft Tissue Trimmer,Safco Dental,https://www.safcodental.com/product/soft-tissue-trimmer,139.99,USD,InStock,,"[{""name"": ""Sutures & surgical products"", ""url"": ""https://www.safcodental.com/catalog/sutures-surgical-products""}, {""name"": ""Surgical blades and scalpels"", ""url"": ""https://www.safcodental.com/catalog/sutures-surgical-products/surgical-blades-and-scalpels""}]",[],{},"[""https://www.safcodental.com/media/catalog/product/p/f/pflwh.jpg""]",[],FG bur designed for soft tissue surgery. Can be used as an alternative to electrosurgery and surgical blades; functions as a rotating scalpel for soft tissue that promotes coagulation for minimal bleeding. Biocompatible hard oxide point cuts tissue without burning. Autoclavable.,https://www.safcodental.com/product/soft-tissue-trimmer,2026-06-03T22:03:17.664876+00:00,json_ld,safco-dental-20260603-220305-7cbc75,209e5e01f73f5022835cc749143e3f05edef591d248b081c84007ef3107e6ebe,2026-06-03T22:03:06.049419+00:00,2026-06-03T22:03:17.678538+00:00
sku:PFWRU,PFWRU,R.T.R.+ Syringe,Safco Dental,https://www.safcodental.com/product/r-t-r-syringe,152.99,USD,InStock,,"[{""name"": ""Sutures & surgical products"", ""url"": ""https://www.safcodental.com/catalog/sutures-surgical-products""}, {""name"": ""Bone grafting tissue augmentation"", ""url"": ""https://www.safcodental.com/catalog/sutures-surgical-products/bone-grafting""}]",[],{},"[""https://www.safcodental.com/media/catalog/product/p/f/pfwru.jpg""]",[],"Sterile and fully resorbable synthetic bone grafting material. Ideal osteogenic matrix mimics human bone. Available in 2 biphasic β-TCP (β-Tricalcium phosphate) / Hydroxyapatite formulations: 40%/60%: New bone formation gradually forms at the same pace as natural bone. 80%/20%: New natural bone will generate at an accelerated pace. Indications include: post-extraction socket preservation, periodontal defects, infrabony defects, peri-implant defects, sinus lift, ridge augmentation, and cystic cavities.",https://www.safcodental.com/product/r-t-r-syringe,2026-06-03T22:03:19.250149+00:00,json_ld,safco-dental-20260603-220305-7cbc75,fed9360503be294f58e5de5849c66a402923967056390bc90f0646997b1c99ce,2026-06-03T22:03:06.052217+00:00,2026-06-03T22:03:19.262667+00:00
sku:PFLVZ,PFLVZ,Safety Scalpels,Safco Dental,https://www.safcodental.com/product/safety-scalpels,38.49,USD,InStock,,"[{""name"": ""Sutures & surgical products"", ""url"": ""https://www.safcodental.com/catalog/sutures-surgical-products""}, {""name"": ""Surgical blades and scalpels"", ""url"": ""https://www.safcodental.com/catalog/sutures-surgical-products/surgical-blades-and-scalpels""}]",[],{},"[""https://www.safcodental.com/media/catalog/product/p/f/pflvz.jpg""]",[],"Retractable blade scalpel offers ultimate safety. Sterile Stainless steel, razor-sharp cutting edge. Advance blade with slider in one motion. Blade locks into place with audible confirmation. Retract with one motion to protected position. Metric ruler on each scalpel. Individually packaged.",https://www.safcodental.com/product/safety-scalpels,2026-06-03T22:03:20.518771+00:00,json_ld,safco-dental-20260603-220305-7cbc75,35a3402dfb6aaebde320f4810f0ebec235d5e8fb0842a4454ba9a125adfbd205,2026-06-03T22:03:06.055096+00:00,2026-06-03T22:03:20.531425+00:00
sku:PFWRL,PFWRL,Regenafill Bone Graft Plug,Safco Dental,https://www.safcodental.com/product/regenafill-sup-trade-sup-bone-graft-plug,259.99,USD,InStock,,"[{""name"": ""Sutures & surgical products"", ""url"": ""https://www.safcodental.com/catalog/sutures-surgical-products""}, {""name"": ""Bone grafting tissue augmentation"", ""url"": ""https://www.safcodental.com/catalog/sutures-surgical-products/bone-grafting""}]",[],{},"[""https://www.safcodental.com/media/catalog/product/p/f/pfwrl.jpg""]",[],"Composed of 80% carbonate phosphate based mineral with a carbonate apatite structure combined with 20% Type I Achilles bovine tendon collagen. This mineral is physically and chemically comparable to the mineralized matrix of human bone, which makes it an excellent choice for socket preservation. No membrane needed in most cases. Intended for use in dental surgery including: • Augmentation or reconstructive treatment of the alveolar ridge.• Filling of infrabony periodontal defects.• Filling of defects after root resection, apicoectomy, and cystectomy.• Filling of extraction sockets to enhance preservation of alveolar ridge.• Elevation of the maxillary sinus floor.• Filling of periodontal defects in conjunction with GTR. • Filling of peri-implant defects in conjunction with GBR.",https://www.safcodental.com/product/regenafill-sup-trade-sup-bone-graft-plug,2026-06-03T22:03:19.740579+00:00,json_ld,safco-dental-20260603-220305-7cbc75,d39d8ffcaec95a5b5eb9aca5d41a976b3a0352243eafc010d6fa69f5147b1825,2026-06-03T22:03:06.057986+00:00,2026-06-03T22:03:19.753943+00:00
sku:PFLVV,PFLVV,Feather Microsurgical Blades,Safco Dental,https://www.safcodental.com/product/feather-sup-reg-nbsp-sup-microsurgical-blades,89.99,USD,InStock,,"[{""name"": ""Sutures & surgical products"", ""url"": ""https://www.safcodental.com/catalog/sutures-surgical-products""}, {""name"": ""Surgical blades and scalpels"", ""url"": ""https://www.safcodental.com/catalog/sutures-surgical-products/surgical-blades-and-scalpels""}]",[],{},"[""https://www.safcodental.com/media/catalog/product/p/f/pflvv.jpg""]",[],"Advanced instrument system of interchangeable blades and handles. Ultra-sharp, retains cutting efficiency. Ideal for microsurgery & use with a microscope. Optimal shapes & blade thickness. Small tips for surgical precision. Variety of applications including periodontal & regenerative surgery. Multiple handle designs. Made of high-quality stainless steel All blades are gamma-sterilized and can be used immediately after opening the package.",https://www.safcodental.com/product/feather-sup-reg-nbsp-sup-microsurgical-blades,2026-06-03T22:03:20.722322+00:00,json_ld,safco-dental-20260603-220305-7cbc75,16f13f63ea1c0ee1a8306645212ffeb0b70750ef2d6aa404d6ef4c9d1aeb6831,2026-06-03T22:03:06.060365+00:00,2026-06-03T22:03:20.734275+00:00
sku:PFPJK,PFPJK,Surgifoam,Safco Dental,https://www.safcodental.com/product/surgifoam-reg,214.49,USD,InStock,,"[{""name"": ""Sutures & surgical products"", ""url"": ""https://www.safcodental.com/catalog/sutures-surgical-products""}, {""name"": ""Surgical medicaments and packing"", ""url"": ""https://www.safcodental.com/catalog/sutures-surgical-products/surgical-medicaments-and-packing""}]",[],{},"[""https://www.safcodental.com/media/catalog/product/p/f/pfpjk.jpg""]",[],"Sterile, water insoluble, malleable porcine gelatin absorbable sponge, intended for hemostatic use by applying to a bleeding surface.",https://www.safcodental.com/product/surgifoam-reg,2026-06-03T22:03:21.554529+00:00,json_ld,safco-dental-20260603-220305-7cbc75,4e5d66050bdde6d06a06da896b7f8bb093f0a0c62f0da0c6c610717adaca5239,2026-06-03T22:03:06.062720+00:00,2026-06-03T22:03:21.567527+00:00
